
image_name,plate_number
P1010001.jpg,171 NVX 75
P1010002.jpg,ZH-247640
P1010003.jpg,819 KXH 75
P1010004.jpg,DU 748-BH
P1010005.jpg,SG D3-164
P1010006.jpg,KI 43 GC
P6040007.jpg,LJ 46-5H
P6040008.jpg,325-J-521
P6040009.jpg,ZG 2877-J
P6040010.jpg,ZG 2877-J
P6040011.jpg,BEJ 53-45
P6040012.jpg,SK 253-CL
P6040013.jpg,ZG 655-UR
P6040014.jpg,ZG 7871-S
P6040015.jpg,ZG 8297-I
P6040016.jpg,VZ 0909-MD
P6040017.jpg,ZG 884-AM
P6040018.jpg,ZG 667-BU
P6040019.jpg,RI 681-GN
P6040020.jpg,RI 373-KI
P6040021.jpg,ZG 877-TF
P6040022.jpg,ZG 637-LV
P6040023.jpg,ZG 4513-R
P6040024.jpg,PE 59 FT
P6040025.jpg,ZG 5715-AK
P6040026.jpg,ZG 4269-AC
P6040027.jpg,MA 398-AG
P6040028.jpg,066-A-007
P6040029.jpg,ED AL 551
P6040030.jpg,BJ 100-EE
P6040031.jpg,KC 538-AG
P6040032.jpg,ZD 539-CH
P6040033.jpg,ZG 3585-AI
P6040034.jpg,ZG 6123-J
P6040035.jpg,E ZG 26
P6040036.jpg,F AM 165
P6040037.jpg,ZG 9158-AK
P6040038.jpg,ZG 763-VE
P6040039.jpg,SK 180-BM
P6040040.jpg,BW 678RX
P6040041.jpg,SI 663-BN
P6040042.jpg,ZG 8000-Z
P6040043.jpg,ZG 990-NL
P6040044.jpg,ZG 162-LC
P6040045.jpg,ZG 6082-AK
P6040046.jpg,PU 742-HV
P6040047.jpg,ZG 4240-AC
P6040048.jpg,SW 771 AE
P6040049.jpg,LJ E7-97R
P6040050.jpg,ST 329-JH
P6040051.jpg,W 21337 S
P6040052.jpg,BV 593KX
P6040053.jpg,KA 451-CC
P6040054.jpg,IM 954-S
P6040055.jpg,KA 127-CO
P6040056.jpg,NJA 14-73
P6040057.jpg,VT 809-T
P6040058.jpg,KZ 386-L
P6040059.jpg,NG 619-AA
P6040060.jpg,PU 865-HZ
P6040061.jpg,PU 253-IB
P6040062.jpg,HG AS 1802
P6040063.jpg,ZG 4459-L
P6040064.jpg,VZ 820-DD
P6040065.jpg,2216 YE 06
P6040066.jpg,ZG 6839-AI
P6040067.jpg,018 050 A
P6040068.jpg,ZG 4215-AC
P6040069.jpg,ZD 403-CK
P6040070.jpg,ZG 8481-L
P6040071.jpg,ZG 4097-AC
P6040072.jpg,SI 661-BM
